build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
1,2,2,0,1,0,0,8,1,0,6,3,0,0,1,1,1,0.2,1,1,5,0,4,1.124694071,0,0,0,0,3,8,1,2.8464396,34,33,29,108,31,114,25,27,7,0,34,1,32,26,16,7,15,34,34,22,34,30,34,0,0,7,28,34
1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0.4,1,1,6,7,1,1.304794793,0,0,0,0,1,1,2,0,25,17,33,108,31,114,27,27,7,0,34,1,30,26,18,7,15,17,25,22,13,27,30,0,0,7,28,26
1,2,2,0,1,0,0,8,1,0,6,3,0,1,1,1,1,0.6,1,1,6,0,4,1.124497742,0,0,0,0,3,8,3,2.8464396,29,28,30,108,31,114,34,27,6,0,34,1,32,26,10,6,15,28,29,22,25,33,33,0,0,7,28,29
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0.2,1,1,6,1,1,2.230220311,0,0,0,0,0,0,1,0,32,17,25,108,31,114,33,27,7,0,34,1,7,26,20,7,15,9,32,22,13,33,33,0,0,7,28,34
1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0.8,1,1,6,7,1,1.304351593,0,0,0,0,1,1,4,0,26,34,20,108,31,114,28,27,7,0,34,1,5,26,2,7,15,26,34,22,34,23,34,0,0,7,28,33
1,2,2,0,1,0,0,8,1,0,6,3,0,1,1,0.833333333,1,1,1,1,6,0,4,1.124291508,0,0,0,0,3,8,5,2.8464396,25,34,21,108,31,114,28,27,7,0,34,1,30,26,18,7,15,25,23,22,19,27,34,0,0,7,28,32
1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0.714285714,1,1,1,1,7,7,1,1.303885276,0,0,0,0,1,1,6,0,32,21,29,108,31,114,24,27,7,0,34,1,7,26,31,7,15,13,32,22,20,32,32,0,0,7,28,34
1,2,2,0,1,0,0,8,1,0,6,3,0,1,1,0.625,1,1,1,1,7,0,4,1.12409541,0,0,0,0,3,8,7,2.8464396,23,26,32,108,31,114,33,27,7,0,34,1,11,26,6,7,15,22,23,22,10,33,33,0,0,7,28,34
1,1,0,0,1,0,0,2,0,1,0,2,0,0,1,0.555555556,1,0.2,1,1,1,7,2,3.217755866,0,0,0,0,1,1,1,0.72192806,27,31,34,108,31,114,29,27,6,0,33,1,32,26,4,6,15,26,31,22,12,29,32,0,0,7,28,33
1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.5,1,1,1,1,1,7,1,1.303443752,0,0,0,0,1,1,8,0,19,27,33,108,31,114,34,27,7,0,34,1,3,26,18,7,15,16,19,22,16,34,34,0,0,7,28,24
