build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,4.911554232,0,0,0,1,0,0,0,0,24,22,25,64,71,42,22,5,9,0,24,26,24,18,21,7,0,24,0,25,0,0,0,16,24,17,21,21
1,10,447,6,0,2,0,16,16,0,1,13,0,0,0,0,0,0,1,0,3,0,2,8.266658867,0,1,0,1,3,5,0,3.3553944,25,25,23,65,72,55,22,14,8,0,25,26,21,18,20,8,0,23,0,25,0,0,0,25,23,17,21,24
0,1,29,0,0,0,0,3,2,0,1,3,0,0,0.285714286,0.142857143,0,0,1,0,3,2,2,3.357660495,0,1,0,0,1,3,0,1.2795861,23,23,25,64,71,42,23,5,8,0,20,26,13,18,21,8,0,24,0,25,0,0,0,20,10,17,21,21
0,4,99,6,0,0,0,6,5,0,0,6,0,0,0.222222222,0.111111111,1,0.2,1,0,3,0,1,5.724305702,0,1,0,1,2,4,1,1.8738476,25,24,25,65,72,55,25,14,9,0,20,26,22,18,14,9,0,25,0,25,0,0,0,20,11,17,21,18
0,1,0,0,0,0,0,1,0,0,1,1,1,0,0.230769231,0.076923077,0,0,1,1,4,1,1,7.429798099,0,0,0,0,1,1,1,0,25,25,25,64,71,42,25,5,9,0,24,26,22,18,20,9,0,25,0,25,0,0,0,24,24,17,21,24
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.157894737,0.052631579,0,0,1,0,4,3,0,4.379070872,0,0,0,1,0,0,1,0,25,13,25,64,71,42,25,5,7,0,21,26,22,18,5,7,0,25,0,25,0,0,0,13,9,17,21,23
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.05,0,0,1,0,4,3,0,4.050781671,0,0,0,1,0,0,2,0,25,17,22,64,71,42,25,5,7,0,25,26,18,18,5,7,0,25,0,25,0,0,0,17,13,17,21,13
0,1,5,0,0,0,0,2,2,0,0,2,0,0,0.142857143,0.047619048,0,0,1,0,4,7,1,9.64216396,0,0,0,0,1,2,2,0.97095054,25,22,21,64,71,42,23,5,8,0,24,26,24,18,11,9,0,25,0,25,0,0,0,20,22,17,21,15
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.136363636,0.045454545,0,0,1,0,4,3,0,3.948647924,0,0,0,1,0,0,3,0,24,24,25,64,71,42,21,5,9,0,24,26,22,18,1,9,0,21,0,25,0,0,0,21,24,17,21,21
0,1,4,0,0,0,0,1,1,0,0,1,0,0,0.130434783,0.043478261,0,0,1,0,4,7,1,6.039376033,0,0,0,0,1,1,3,0,24,23,23,64,71,42,24,5,8,0,23,26,13,18,4,8,0,23,0,25,0,0,0,23,23,17,21,25
0,1,8,0,0,0,0,1,1,0,0,1,0,0,0.125,0.041666667,0.5,0.2,1,0,4,7,1,4.293912392,0,0,0,0,1,1,2,0,25,20,24,65,72,55,25,14,9,0,21,26,19,18,23,7,0,23,0,25,0,0,0,10,18,17,21,23
0,1,26,0,0,0,0,3,3,0,0,2,0,0,0.153846154,0.038461538,0,0,1,1,4,7,1,6.559265892,0,0,0,0,1,2,4,0.9912642,25,24,23,64,71,42,24,5,7,0,24,26,15,18,9,7,0,22,0,25,0,0,0,10,24,17,21,12
0,1,0,0,0,0,0,2,0,0,2,2,0,0,0.137931034,0.034482759,0,0,1,0,4,2,2,5.575401671,0,1,0,0,1,2,4,0.54356444,22,21,25,64,71,42,21,5,8,0,20,26,22,18,16,5,0,21,0,25,0,0,0,12,20,17,21,17
1,1,2,22,0,0,0,2,1,0,0,2,0,0,0.129032258,0.032258065,0,0,1,0,4,7,1,5.13816801,0,0,0,0,2,2,5,0.41381684,24,21,24,64,71,42,21,6,6,0,24,26,18,18,12,6,0,24,0,25,0,0,0,19,24,17,21,25
0,1,7,11,0,0,0,3,2,0,0,2,1,0,0.176470588,0.029411765,0.166666667,0,1,1,4,2,1,4.687312911,0,1,0,0,2,3,6,1.2997367,25,25,24,64,71,42,24,5,9,0,25,26,13,18,21,9,0,23,0,25,0,0,0,25,22,17,21,21
1,1,0,0,0,0,0,1,0,0,1,1,0,0,0.205128205,0.025641026,0,0,1,1,5,2,1,5.009470503,0,1,0,0,1,1,5,0,23,23,22,61,69,36,19,5,8,0,23,26,22,18,2,8,0,24,0,25,0,0,0,23,19,17,21,19
1,1,0,0,0,0,0,1,0,0,1,1,0,0,0.219512195,0.024390244,0.142857143,0,1,0,5,7,1,9.56791174,0,0,0,0,1,1,7,0,24,14,21,64,71,42,22,5,7,0,22,26,24,18,17,8,0,24,0,25,0,0,0,12,13,17,21,25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.260869565,0.02173913,0.25,0,1,0,5,2,0,6.197933325,0,1,0,1,0,0,8,0,25,25,24,64,71,42,21,5,9,0,25,26,18,18,21,5,0,21,0,25,0,0,0,25,23,17,21,21
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.02,0.222222222,0,1,0,5,1,0,3.198351493,0,0,0,1,0,0,9,0,24,23,23,64,71,42,23,5,8,0,19,26,24,18,1,9,0,25,0,25,0,0,0,9,19,17,21,11
1,1,0,0,0,0,0,16,0,0,16,1,0,0,0.254901961,0.019607843,0,0,1,0,5,7,1,4.372350361,0,0,0,0,16,16,0,3.9698153,25,25,25,64,71,42,25,5,9,0,24,26,21,18,8,9,0,25,0,25,0,0,0,24,24,17,21,24
1,1,0,0,2,0,0,2,0,0,0,1,0,0,0.269230769,0.019230769,0.333333333,0.2,1,1,5,1,1,4.280797031,0,0,0,0,1,1,3,1,25,25,25,64,71,42,25,5,8,0,22,26,24,18,9,8,0,25,0,25,0,0,0,15,22,17,21,17
0,1,78,0,0,0,0,4,4,0,0,2,0,0,0.344827586,0.017241379,0.166666667,0,1,1,5,1,1,7.008870627,0,0,0,0,1,2,6,1.8440342,25,25,24,64,71,44,25,5,8,0,25,26,16,18,1,8,0,24,0,25,0,0,0,24,25,18,21,24
1,2,0,0,0,1,0,3,0,0,4,2,1,1,0.338983051,0.016949153,0.142857143,0,1,0,6,0,2,7.436178504,0,0,0,0,1,2,7,1.7737714,25,24,25,64,71,42,25,5,7,0,24,26,23,18,15,6,0,25,0,25,0,0,0,3,24,17,21,15
1,1,0,0,0,0,0,1,0,0,1,1,0,0,0.35,0.016666667,0.5,0.4,1,1,6,7,1,6.272113034,0,0,0,0,1,1,4,0,25,25,24,64,71,42,21,5,9,0,25,26,23,18,19,6,0,21,0,25,0,0,0,13,25,17,21,19
0,1,0,0,2,0,0,2,0,0,0,1,0,1,0.360655738,0.016393443,0.6,0.6,1,1,5,1,1,4.272614965,0,0,0,0,1,1,5,1,24,23,25,64,71,42,20,5,9,0,24,26,14,18,5,9,0,24,0,25,0,0,0,19,24,17,21,8
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.349206349,0.015873016,0.25,0,1,0,6,7,1,6.478880601,0,0,0,0,1,1,8,0,24,19,24,64,71,42,24,5,7,0,22,26,21,18,12,7,0,24,0,25,0,0,0,13,19,17,21,14
0,1,0,0,0,0,0,2,0,0,2,2,0,0,0.34375,0.015625,0.2,0,1,0,6,2,1,5.975012544,0,1,0,0,1,1,10,0.9940302,25,17,24,64,71,42,25,5,4,0,22,26,19,18,4,6,0,24,0,25,0,0,0,16,12,17,21,20
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.338461538,0.015384615,0.222222222,0,1,0,6,1,1,12.34168242,0,0,0,0,1,1,9,0,23,21,22,64,71,42,23,5,9,0,19,26,22,18,23,8,0,24,0,25,0,0,0,15,18,17,21,23
0,1,0,0,0,0,0,3,0,0,3,3,0,1,0.333333333,0.015151515,0.2,0,1,0,6,7,1,6.710377395,0,0,0,0,1,2,10,1.564735,25,19,24,64,71,42,24,5,9,0,19,26,21,18,11,9,0,17,0,25,0,0,0,14,19,17,21,22
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.31884058,0.014492754,0.181818182,0,1,0,6,2,1,5.65919749,0,0,0,0,1,1,11,0,24,24,25,64,71,42,18,5,8,0,24,26,22,18,4,9,0,22,0,25,0,0,0,15,24,17,21,15
1,1,0,0,0,0,0,1,0,0,1,1,0,0,0.323943662,0.014084507,0.166666667,0,1,1,6,5,1,6.360580277,0,0,0,0,1,1,12,0,25,22,21,64,71,42,24,5,9,0,22,26,9,18,23,7,0,23,0,25,0,0,0,22,17,17,21,23
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.333333333,0.013888889,0.230769231,0,1,1,6,2,1,5.092557127,0,1,0,0,1,1,13,0,24,24,25,64,71,42,24,5,9,0,24,26,24,18,12,9,0,24,0,25,0,0,0,24,24,17,21,24
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.337837838,0.013513514,0.214285714,0,1,1,6,2,1,5.53559926,0,1,0,0,1,1,14,0,24,16,21,64,71,42,23,5,8,0,24,26,13,18,23,8,0,24,0,25,0,0,0,3,16,17,21,25
0,1,0,0,2,0,0,2,0,0,0,1,0,0,0.320512821,0.012820513,0.5,0.6,1,0,5,1,1,4.264886883,0,0,0,0,1,1,6,1,25,21,24,64,71,42,25,5,9,0,25,26,20,18,3,9,0,25,0,25,0,0,0,15,23,17,21,19
0,1,3,0,0,0,0,1,1,0,0,1,0,0,0.325,0.0125,0.428571429,0.6,1,1,6,1,1,6.289520353,0,0,0,0,1,1,7,0,25,25,24,64,71,43,24,5,9,0,25,26,19,18,23,6,0,24,0,25,0,0,0,25,22,17,21,23
1,1,4,0,0,0,0,1,1,0,0,1,0,1,0.320987654,0.012345679,0.375,0.6,1,0,6,7,1,8.726886695,0,0,0,0,1,1,8,0,24,22,25,64,71,42,22,5,9,0,24,26,20,18,19,9,0,24,0,25,0,0,0,22,22,17,21,22
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.325301205,0.012048193,0,0,1,0,6,3,0,4.710805634,0,0,0,1,0,0,0,0,25,24,24,64,71,42,25,5,9,0,22,26,23,18,1,9,0,24,0,25,0,0,0,20,22,17,21,20
0,1,0,0,0,0,0,1,0,0,1,1,1,0,0.329268293,0.012195122,0.2,0,1,1,6,2,1,5.654590383,0,0,0,0,1,1,15,0,25,24,23,64,71,42,23,5,9,0,25,26,9,18,14,9,0,25,0,25,0,0,0,20,24,17,21,22
0,1,0,0,0,0,0,0,0,0,0,0,2,0,0.306818182,0.011363636,0,0,1,0,2,4,0,4.972338606,0,0,0,1,0,0,1,0,24,24,24,64,71,42,24,5,9,0,24,26,22,18,12,9,0,24,0,25,0,0,0,24,24,17,21,24
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.303370787,0.011235955,0,0,1,0,2,3,0,5.232299344,0,0,0,1,0,0,2,0,25,25,23,64,71,42,23,5,9,0,25,26,18,18,14,9,0,24,0,25,0,0,0,25,17,17,21,14
0,1,8,0,0,0,0,2,1,0,1,2,0,0,0.298969072,0.010309278,0.181818182,0,1,0,2,1,2,5.320858983,0,0,0,0,2,2,11,0.87671626,25,25,25,64,71,42,25,5,7,0,21,26,24,18,12,9,0,25,0,25,0,0,0,13,9,17,21,14
1,2,36,0,0,0,0,2,2,0,0,2,0,0,0.295918367,0.010204082,0.444444444,0.6,1,0,2,0,1,5.471790692,0,0,0,1,1,1,9,0.91829586,25,21,25,65,72,54,24,14,8,0,25,26,18,19,20,6,0,25,0,25,0,0,0,19,25,17,21,20
