build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,13,112,8,0,0,0,77,9,0,67,16,-1,-1,0,0,0,0,2,-1,2,0,2,8.804931005,0,2,0,1,16,21,0,5.246211,396,398,395,187,39,140,387,258,176,398,398,69,370,30,367,171,8,398,140,84,309,396,140,375,169,17,59,270
0,1,26,129,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,2,2,1,5.51396712,0,1,0,0,1,3,0,1.4400188,396,394,397,187,39,140,394,258,175,235,398,69,390,30,359,174,8,394,146,84,313,396,146,392,146,17,59,235
1,4,2833,573,0,28,25,145,146,0,0,32,0,0,0,0,0,0,1,0,2,0,1,9.231275885,0,0,0,1,10,56,1,6.98364,398,389,385,187,39,140,398,258,174,360,398,69,398,30,355,174,8,394,95,84,298,396,95,396,389,17,59,389
1,1,224,36,0,0,0,23,16,0,0,3,0,1,0.333333333,0.333333333,0.5,0.2,1,1,2,7,1,5.878846594,0,0,0,0,6,17,2,3.959082,398,383,396,182,37,142,397,256,174,291,398,68,397,30,377,173,8,398,176,82,353,398,176,394,325,17,59,291
0,1,8,0,0,0,0,2,2,0,0,1,0,0,0.5,0.5,0,0,1,1,2,7,1,5.826659899,0,0,0,0,2,2,1,0.954434,397,393,398,187,39,140,397,258,175,373,397,69,374,30,389,174,8,397,199,84,364,394,199,397,208,17,59,373
1,1,7,0,0,0,0,2,2,0,0,2,1,0,0.4,0.4,0.666666667,0.4,1,0,3,7,1,4.182170464,0,0,0,0,1,1,3,0.9852281,398,376,387,182,37,142,398,256,174,347,398,68,384,30,398,170,8,398,162,82,359,395,162,384,295,17,59,337
0,1,32,1,0,0,0,4,3,0,0,2,1,1,0.5,0.333333333,0.75,0.6,1,1,4,2,1,5.029829079,0,1,0,0,3,4,4,1.3848678,398,361,383,187,39,140,395,258,176,370,398,69,386,30,385,173,8,398,237,84,256,390,237,390,352,17,59,370
0,2,120,58,0,0,0,22,15,0,0,5,0,1,0.428571429,0.285714286,0.6,0.6,1,0,4,0,1,5.290204744,0,1,0,0,8,18,5,3.9627824,398,396,377,182,37,142,398,256,174,343,398,68,397,30,376,172,8,398,215,82,385,393,215,398,396,17,59,343
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.375,0.25,0.5,0.6,1,0,4,3,0,4.183930681,0,0,0,1,0,0,6,0,397,390,376,182,37,141,392,256,174,368,398,68,382,30,387,174,8,397,80,82,276,394,80,392,389,17,59,368
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0.222222222,0,0,1,0,4,3,0,2.489410702,0,0,0,1,0,0,2,0,395,395,385,187,39,140,394,258,176,385,395,69,374,30,398,176,8,395,118,84,390,373,118,389,394,17,59,385
1,1,1104,342,0,12,1,87,56,0,3,7,0,0,0.3,0.2,0.428571429,0.6,1,0,4,1,4,4.787116679,0,0,0,0,11,52,7,5.247167,396,396,364,184,39,143,396,258,174,210,396,69,394,30,382,174,8,396,212,82,380,394,212,394,351,17,59,210
