build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
1,12,550,0,0,0,0,23,22,0,1,17,-1,-1,0,0,0,0,1,-1,6,0,3,8.574856715,0,2,0,1,2,5,0,2.8628535,0,0,0,117,63,39,0,30,0,0,0,3,0,23,0,0,1,0,0,59,0,0,0,0,0,5,9,0
1,1,4,0,0,0,0,2,1,0,1,2,0,1,1,1,1,0.2,1,1,6,7,2,4.298320731,1,0,0,0,1,2,1,0.72192806,0,0,0,118,63,39,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
1,1,4,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0.4,1,1,6,7,1,5.65237179,0,0,0,0,1,1,2,0,0,0,0,118,63,39,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,3,11,0,1,1,0,3,1,0,2,2,0,0,1,1,0,0,2,1,6,0,3,4.577621583,0,0,0,1,1,2,0,1.5342867,0,0,0,117,63,40,0,30,0,0,0,3,0,23,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,3,51,0,1,2,0,1,2,0,0,1,0,0,0.75,0.75,0,0,2,0,6,0,2,4.370852224,0,0,0,1,1,1,0.5,1.5070142,0,0,0,117,63,40,0,30,0,0,0,3,0,23,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,31,0,0,0,0,2,2,0,0,1,0,0,0.6,0.6,0,0,1,0,6,1,1,6.445678222,0,0,0,0,1,1,1,0.7706291,0,0,0,117,63,40,0,30,0,0,0,3,0,23,0,0,1,0,0,59,0,0,0,0,0,5,9,0
1,2,34,0,0,0,0,7,7,0,0,5,0,0,0.5,0.5,0,0,1,0,6,0,1,8.161695236,0,0,0,0,1,2,2,2.599129,0,0,0,118,63,39,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,3,0,0,2,2,0,0,0,0,0,0,0,1,0.571428571,0.428571429,0.333333333,0.2,1,1,6,0,1,5.458590074,0,0,0,1,0,0,3,0.99901026,0,0,0,117,63,40,0,30,0,0,0,3,0,23,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.375,0.25,0.2,1,0,6,3,0,4.701512784,0,0,0,1,0,0,4,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,3,0,0,0,0,1,1,0,0,1,1,0,0.444444444,0.333333333,0,0,1,0,7,7,1,4.513064719,0,0,0,0,1,1,2,0,0,0,0,117,63,40,0,30,0,0,0,3,0,23,0,0,1,0,0,59,0,0,0,0,0,5,9,0
