build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.197444089,0.001064963,0.011049724,0.0,1.0,0.0,6.0,7.0,2.0,0.75794417,0.0,0.0,0.0,0.0,2.0,2.0,724.0,0.9709506,110.0,84.0,98.0,217.0,150.0,192.0,97.0,47.0,60.0,90.0,109.0,15.0,92.0,48.0,100.0,62.0,19.0,110.0,108.0,47.0,99.0,106.0,108.0,22.0,82.0,16.0,52.0,104.0
0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.197402044,0.001064736,0.011034483,0.0,1.0,0.0,6.0,7.0,2.0,0.757891783,0.0,0.0,0.0,0.0,2.0,2.0,725.0,0.9709506,110.0,107.0,98.0,217.0,150.0,192.0,101.0,47.0,61.0,23.0,110.0,15.0,107.0,48.0,108.0,61.0,19.0,85.0,110.0,47.0,109.0,100.0,110.0,49.0,87.0,16.0,52.0,109.0
0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.197360017,0.001064509,0.011019284,0.0,1.0,0.0,6.0,7.0,2.0,0.757839403,0.0,0.0,0.0,0.0,2.0,2.0,726.0,0.9709506,110.0,101.0,18.0,217.0,150.0,192.0,110.0,47.0,61.0,92.0,110.0,15.0,105.0,48.0,109.0,61.0,19.0,107.0,110.0,47.0,107.0,106.0,110.0,102.0,79.0,16.0,52.0,107.0
0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.195941661,0.001056859,0.010652463,0.0,1.0,0.0,5.0,7.0,2.0,0.757049001,0.0,0.0,0.0,0.0,2.0,2.0,751.0,0.9709506,110.0,109.0,103.0,218.0,152.0,197.0,108.0,47.0,62.0,49.0,110.0,15.0,105.0,48.0,104.0,57.0,19.0,108.0,109.0,46.0,102.0,73.0,109.0,93.0,105.0,16.0,53.0,109.0
0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.195900254,0.001056636,0.010638298,0.0,1.0,0.0,6.0,7.0,2.0,0.7569968,0.0,0.0,0.0,0.0,2.0,2.0,752.0,0.9709506,110.0,110.0,36.0,218.0,152.0,197.0,98.0,47.0,62.0,97.0,110.0,15.0,99.0,48.0,93.0,62.0,19.0,104.0,103.0,46.0,86.0,88.0,109.0,66.0,8.0,16.0,53.0,108.0
0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.195858863,0.001056412,0.01062417,0.0,1.0,0.0,6.0,7.0,2.0,0.756944607,0.0,0.0,0.0,0.0,2.0,2.0,753.0,0.9709506,109.0,102.0,46.0,218.0,152.0,197.0,94.0,47.0,62.0,88.0,110.0,15.0,108.0,48.0,101.0,62.0,19.0,97.0,110.0,46.0,75.0,104.0,110.0,81.0,49.0,16.0,53.0,108.0
0,1.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.23951578,0.002161695,0.172043011,0.6,1.0,1.0,6.0,5.0,1.0,6.386324291,0.0,0.0,0.0,0.0,1.0,1.0,93.0,0.0,42.0,17.0,26.0,159.0,78.0,139.0,45.0,30.0,12.0,32.0,45.0,15.0,37.0,41.0,31.0,12.0,20.0,41.0,45.0,37.0,41.0,33.0,45.0,0.0,0.0,13.0,37.0,41.0
0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.194217473,0.001047559,0.01010101,0.0,1.0,0.0,5.0,7.0,2.0,0.755058902,0.0,0.0,0.0,0.0,2.0,2.0,792.0,0.9852281,110.0,98.0,45.0,218.0,152.0,197.0,99.0,47.0,62.0,15.0,110.0,15.0,106.0,48.0,104.0,62.0,19.0,102.0,109.0,46.0,86.0,33.0,109.0,35.0,55.0,16.0,53.0,108.0
0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.194176791,0.00104734,0.010088272,0.0,1.0,0.0,6.0,7.0,2.0,0.755006997,0.0,0.0,0.0,0.0,2.0,2.0,793.0,0.9852281,108.0,109.0,106.0,218.0,152.0,197.0,102.0,47.0,60.0,97.0,109.0,15.0,95.0,48.0,110.0,61.0,19.0,109.0,105.0,46.0,109.0,97.0,107.0,7.0,77.0,16.0,53.0,110.0
0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.194136126,0.00104712,0.010075567,0.0,1.0,0.0,6.0,7.0,2.0,0.7549551,0.0,0.0,0.0,0.0,2.0,2.0,794.0,0.9852281,109.0,103.0,87.0,218.0,152.0,197.0,110.0,47.0,62.0,70.0,110.0,15.0,98.0,48.0,95.0,62.0,19.0,107.0,109.0,46.0,97.0,101.0,109.0,34.0,96.0,16.0,53.0,99.0
