build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,25.0,0.0,0.248427673,0.006289308,0.19858156,0.6,1.0,0.0,5.0,2.0,1.0,3.30623177,0.0,1.0,0.0,0.0,1.0,1.0,141.0,0.0,500.0,483.0,490.0,290.0,54.0,342.0,491.0,393.0,221.0,494.0,500.0,103.0,464.0,52.0,457.0,220.0,9.0,498.0,310.0,153.0,305.0,495.0,310.0,499.0,344.0,37.0,64.0,493.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250783699,0.006269592,0.272727273,0.0,1.0,1.0,5.0,3.0,0.0,2.450622495,0.0,0.0,0.0,1.0,0.0,0.0,165.0,0.0,499.0,427.0,500.0,290.0,54.0,342.0,488.0,393.0,220.0,495.0,499.0,103.0,416.0,52.0,481.0,218.0,9.0,497.0,295.0,154.0,114.0,499.0,427.0,494.0,356.0,37.0,64.0,402.0
1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.253125,0.00625,0.277108434,0.0,1.0,1.0,5.0,7.0,1.0,3.03134046,0.0,0.0,0.0,0.0,1.0,1.0,166.0,0.0,500.0,492.0,499.0,290.0,54.0,342.0,488.0,393.0,220.0,447.0,501.0,103.0,488.0,52.0,501.0,219.0,9.0,491.0,290.0,154.0,223.0,500.0,290.0,484.0,290.0,37.0,64.0,447.0
1,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.255451713,0.00623053,0.281437126,0.0,1.0,1.0,5.0,7.0,1.0,3.327766383,0.0,0.0,0.0,0.0,1.0,1.0,167.0,0.0,498.0,501.0,499.0,290.0,54.0,342.0,494.0,393.0,220.0,476.0,501.0,103.0,438.0,52.0,467.0,216.0,9.0,498.0,373.0,154.0,452.0,471.0,483.0,475.0,487.0,37.0,64.0,476.0
1,1.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.257763975,0.00621118,0.285714286,0.0,1.0,1.0,5.0,7.0,1.0,2.798566562,0.0,0.0,0.0,0.0,1.0,1.0,168.0,0.0,501.0,483.0,499.0,290.0,54.0,342.0,500.0,393.0,221.0,458.0,501.0,103.0,350.0,52.0,477.0,221.0,9.0,500.0,140.0,154.0,477.0,479.0,474.0,495.0,352.0,37.0,64.0,210.0
1,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.26006192,0.00619195,0.289940828,0.0,1.0,1.0,5.0,2.0,1.0,2.810359445,0.0,1.0,0.0,0.0,1.0,1.0,169.0,0.0,501.0,493.0,494.0,290.0,54.0,342.0,495.0,393.0,221.0,194.0,501.0,103.0,499.0,52.0,484.0,221.0,9.0,500.0,55.0,154.0,477.0,496.0,115.0,501.0,297.0,37.0,64.0,156.0
1,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.262345679,0.00617284,0.294117647,0.0,1.0,1.0,5.0,4.0,1.0,3.512814377,0.0,0.0,0.0,0.0,1.0,1.0,170.0,0.0,499.0,495.0,500.0,290.0,54.0,342.0,480.0,393.0,220.0,484.0,501.0,103.0,499.0,52.0,501.0,220.0,9.0,499.0,363.0,154.0,478.0,491.0,464.0,497.0,405.0,37.0,64.0,484.0
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.264615385,0.006153846,0.204225352,0.6,1.0,1.0,5.0,2.0,1.0,5.343782019,0.0,1.0,0.0,0.0,1.0,1.0,142.0,0.0,500.0,499.0,497.0,290.0,54.0,342.0,486.0,393.0,221.0,482.0,500.0,103.0,424.0,52.0,459.0,221.0,9.0,500.0,261.0,154.0,459.0,473.0,410.0,500.0,383.0,37.0,64.0,482.0
0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,4.0,0.0,1.0,0.263803681,0.006134969,0.202797203,0.6,1.0,0.0,5.0,7.0,1.0,2.813562751,0.0,0.0,0.0,0.0,18.0,31.0,143.0,4.954196,501.0,500.0,499.0,290.0,54.0,342.0,500.0,393.0,221.0,377.0,501.0,103.0,500.0,52.0,475.0,216.0,9.0,501.0,373.0,154.0,312.0,492.0,373.0,492.0,373.0,37.0,64.0,318.0
0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,1.0,0.0,1.0,0.262996942,0.006116208,0.201388889,0.6,1.0,0.0,5.0,7.0,1.0,2.967937113,0.0,0.0,0.0,0.0,18.0,31.0,144.0,4.954196,501.0,485.0,499.0,290.0,54.0,342.0,490.0,393.0,221.0,437.0,501.0,103.0,417.0,52.0,476.0,217.0,9.0,490.0,1.0,154.0,322.0,493.0,485.0,490.0,391.0,37.0,64.0,412.0
0,1.0,280.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.262195122,0.006097561,0.298245614,0.0,1.0,0.0,6.0,2.0,1.0,3.595391841,0.0,1.0,0.0,0.0,1.0,1.0,171.0,0.718999,500.0,500.0,501.0,291.0,54.0,342.0,492.0,392.0,221.0,376.0,500.0,103.0,431.0,52.0,441.0,216.0,9.0,500.0,164.0,154.0,406.0,488.0,177.0,467.0,392.0,37.0,65.0,392.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.261398176,0.006079027,0.296511628,0.0,1.0,0.0,6.0,3.0,0.0,2.450175018,0.0,0.0,0.0,1.0,0.0,0.0,172.0,0.0,501.0,501.0,499.0,290.0,54.0,342.0,501.0,390.0,221.0,454.0,501.0,103.0,500.0,52.0,487.0,215.0,9.0,501.0,423.0,154.0,243.0,495.0,423.0,473.0,423.0,37.0,65.0,454.0
0,1.0,6.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,0.260606061,0.006060606,0.294797688,0.0,1.0,0.0,6.0,2.0,1.0,3.125077743,0.0,1.0,0.0,0.0,1.0,3.0,173.0,1.5219281,500.0,498.0,501.0,291.0,54.0,342.0,500.0,391.0,221.0,492.0,499.0,103.0,491.0,52.0,464.0,216.0,9.0,500.0,498.0,154.0,312.0,499.0,498.0,493.0,498.0,37.0,65.0,492.0
1,1.0,43.0,121.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.259818731,0.006042296,0.293103448,0.0,1.0,0.0,6.0,2.0,1.0,2.777685117,0.0,1.0,0.0,0.0,1.0,2.0,174.0,0.83004075,501.0,475.0,500.0,290.0,54.0,342.0,487.0,391.0,221.0,500.0,501.0,104.0,482.0,52.0,429.0,219.0,9.0,497.0,256.0,154.0,460.0,468.0,466.0,493.0,268.0,37.0,65.0,500.0
0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.314248536,0.001301236,0.647482014,1.0,1.0,1.0,5.0,7.0,1.0,4.019125931,0.0,0.0,0.0,0.0,1.0,1.0,278.0,0.0,470.0,463.0,462.0,279.0,71.0,452.0,463.0,397.0,146.0,362.0,470.0,156.0,437.0,63.0,397.0,146.0,12.0,463.0,131.0,131.0,391.0,434.0,131.0,457.0,448.0,27.0,79.0,362.0
1,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.314044213,0.00130039,0.31042654,0.2,1.0,0.0,5.0,1.0,1.0,3.481621922,0.0,0.0,0.0,0.0,1.0,1.0,422.0,0.0,464.0,436.0,465.0,278.0,71.0,452.0,454.0,397.0,148.0,407.0,464.0,155.0,464.0,64.0,431.0,148.0,12.0,464.0,26.0,129.0,395.0,459.0,26.0,432.0,436.0,27.0,77.0,407.0
0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.314489929,0.001299545,0.64516129,1.0,1.0,1.0,5.0,1.0,1.0,4.512550381,0.0,0.0,0.0,0.0,1.0,1.0,279.0,0.0,470.0,467.0,468.0,279.0,71.0,452.0,469.0,397.0,148.0,277.0,470.0,156.0,458.0,63.0,407.0,148.0,12.0,470.0,72.0,131.0,408.0,456.0,72.0,470.0,402.0,27.0,79.0,277.0
1,1.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.314285714,0.001298701,0.312056738,0.2,1.0,0.0,5.0,7.0,1.0,3.55620988,0.0,0.0,0.0,0.0,1.0,1.0,423.0,0.0,465.0,441.0,464.0,278.0,71.0,452.0,465.0,397.0,148.0,72.0,465.0,155.0,437.0,64.0,462.0,146.0,12.0,465.0,381.0,129.0,461.0,384.0,381.0,453.0,366.0,27.0,77.0,72.0
1,1.0,4.0,50.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.314730694,0.001297859,0.313679245,0.2,1.0,1.0,5.0,1.0,1.0,3.305940973,0.0,0.0,0.0,0.0,1.0,3.0,424.0,0.45502067,465.0,460.0,463.0,278.0,71.0,452.0,457.0,397.0,148.0,350.0,465.0,155.0,433.0,64.0,433.0,147.0,12.0,465.0,172.0,129.0,458.0,455.0,172.0,465.0,447.0,27.0,77.0,350.0
